,Cancer,Gender,Larynx,Lung,Nasal,Race,State,Trachea,Year
83,Lung,Male,,97.3,,White,IN,,2001
84,Lung,Male,,93.9,,White,IN,,2002
85,Lung,Male,,94.9,,White,IN,,2003
86,Lung,Male,,91.2,,White,IN,,2004
87,Lung,Male,,94.7,,White,IN,,2005
88,Lung,Male,,96.3,,White,IN,,2006
89,Lung,Male,,96.3,,White,IN,,2007
90,Lung,Male,,99.0,,White,IN,,2008
91,Lung,Male,,95.1,,White,IN,,2009
92,Lung,Male,,95.7,,White,IN,,2010
93,Lung,Male,,96.4,,White,IN,,2011
94,Lung,Male,,95.2,,White,IN,,2012
95,Lung,Male,,96.4,,White,IN,,2013
96,Lung,Male,,94.0,,White,IN,,2014
97,Lung,Male,,98.6,,White,IN,,2015
98,Lung,Male,,96.6239021336924,,White,IN,,2016
99,Lung,Male,,79.1654064438227,,White,IN,,2017
100,Lung,Male,,45.505297252610085,,White,IN,,2018
101,Lung,Male,,69.52897768968211,,White,IN,,2019
102,Lung,Male,,54.167560303081636,,White,IN,,2020
103,Lung,Male,,32.995193381281794,,White,IN,,2021
104,Lung,Male,,34.37985407344085,,White,IN,,2022
105,Lung,Male,,0.4148350501394376,,White,IN,,2023
106,Lung,Male,,44.616688636401456,,White,IN,,2024
107,Lung,Male,,0.0,,White,IN,,2025
108,Nasal,Male,,,1.4,White,FL,,1999
109,Nasal,Male,,,1.3,White,FL,,2000
110,Nasal,Male,,,1.2,White,FL,,2001
111,Nasal,Male,,,1.2,White,FL,,2002
112,Nasal,Male,,,1.3,White,FL,,2003
113,Nasal,Male,,,1.2,White,FL,,2004
114,Nasal,Male,,,1.2,White,FL,,2005
115,Nasal,Male,,,1.2,White,FL,,2006
116,Nasal,Male,,,1.3,White,FL,,2007
117,Nasal,Male,,,1.4,White,FL,,2008
118,Nasal,Male,,,1.5,White,FL,,2009
119,Nasal,Male,,,1.4,White,FL,,2010
120,Nasal,Male,,,1.2,White,FL,,2011
121,Nasal,Male,,,1.2,White,FL,,2012
122,Nasal,Male,,,1.3,White,FL,,2013
123,Nasal,Male,,,1.3,White,FL,,2014
124,Nasal,Male,,,1.1,White,FL,,2015
125,Nasal,Male,,,1.0235675622958011,White,FL,,2016
126,Nasal,Male,,,0.0,White,FL,,2017
127,Nasal,Male,,,0.23468841451579925,White,FL,,2018
128,Nasal,Male,,,1.3470246942712674,White,FL,,2019
129,Nasal,Male,,,0.2470397735700286,White,FL,,2020
130,Nasal,Male,,,0.0,White,FL,,2021
131,Nasal,Male,,,0.0,White,FL,,2022
132,Nasal,Male,,,1.902156054315186,White,FL,,2023
133,Nasal,Male,,,0.1155174359486928,White,FL,,2024
134,Nasal,Male,,,0.0,White,FL,,2025
135,Lung,Male,,111.6,,White,OK,,1999
136,Lung,Male,,112.4,,White,OK,,2000
137,Lung,Male,,116.1,,White,OK,,2001
138,Lung,Male,,112.7,,White,OK,,2002
139,Lung,Male,,110.5,,White,OK,,2003
140,Lung,Male,,105.4,,White,OK,,2004
141,Lung,Male,,107.4,,White,OK,,2005
142,Lung,Male,,105.8,,White,OK,,2006
143,Lung,Male,,111.2,,White,OK,,2007
144,Lung,Male,,105.7,,White,OK,,2008
145,Lung,Male,,99.0,,White,OK,,2009
146,Lung,Male,,92.0,,White,OK,,2010
147,Lung,Male,,96.3,,White,OK,,2011
148,Lung,Male,,97.3,,White,OK,,2012
149,Lung,Male,,97.3,,White,OK,,2013
150,Lung,Male,,97.7,,White,OK,,2014
151,Lung,Male,,94.3,,White,OK,,2015
152,Lung,Male,,85.65193988182956,,White,OK,,2016
153,Lung,Male,,17.436811392702552,,White,OK,,2017
154,Lung,Male,,92.7982376330725,,White,OK,,2018
155,Lung,Male,,109.07065356718205,,White,OK,,2019
156,Lung,Male,,21.504331547721616,,White,OK,,2020
157,Lung,Male,,42.959878933873036,,White,OK,,2021
158,Lung,Male,,62.20428372570798,,White,OK,,2022
159,Lung,Male,,0.0,,White,OK,,2023
160,Lung,Male,,0.0,,White,OK,,2024
161,Lung,Male,,91.32219661622628,,White,OK,,2025
162,Lung,Female,,52.7,,Black or African American,OH,,1999
163,Lung,Female,,51.7,,Black or African American,OH,,2000
164,Lung,Female,,47.0,,Black or African American,OH,,2001
165,Lung,Female,,54.7,,Black or African American,OH,,2002
166,Lung,Female,,60.9,,Black or African American,OH,,2003
167,Lung,Female,,58.3,,Black or African American,OH,,2004
168,Lung,Female,,59.1,,Black or African American,OH,,2005
169,Lung,Female,,60.9,,Black or African American,OH,,2006
170,Lung,Female,,61.0,,Black or African American,OH,,2007
171,Lung,Female,,59.4,,Black or African American,OH,,2008
172,Lung,Female,,61.9,,Black or African American,OH,,2009
173,Lung,Female,,63.6,,Black or African American,OH,,2010
174,Lung,Female,,58.3,,Black or African American,OH,,2011
175,Lung,Female,,60.4,,Black or African American,OH,,2012
176,Lung,Female,,63.3,,Black or African American,OH,,2013
177,Lung,Female,,60.5,,Black or African American,OH,,2014
178,Lung,Female,,64.9,,Black or African American,OH,,2015
179,Lung,Female,,64.86476691949808,,Black or African American,OH,,2016
180,Lung,Female,,37.38348363191663,,Black or African American,OH,,2017
181,Lung,Female,,61.289770945539026,,Black or African American,OH,,2018
182,Lung,Female,,0.0,,Black or African American,OH,,2019
183,Lung,Female,,28.318470454025974,,Black or African American,OH,,2020
184,Lung,Female,,29.4866673147396,,Black or African American,OH,,2021
185,Lung,Female,,0.0,,Black or African American,OH,,2022
186,Lung,Female,,63.19817653576558,,Black or African American,OH,,2023
187,Lung,Female,,0.0,,Black or African American,OH,,2024
188,Lung,Female,,0.0,,Black or African American,OH,,2025
189,Larynx,Male,7.1,,,White,ME,,1999
190,Larynx,Male,8.1,,,White,ME,,2000
191,Larynx,Male,7.9,,,White,ME,,2001
192,Larynx,Male,7.5,,,White,ME,,2002
193,Larynx,Male,7.9,,,White,ME,,2003
194,Larynx,Male,8.7,,,White,ME,,2004
195,Larynx,Male,9.6,,,White,ME,,2005
196,Larynx,Male,10.0,,,White,ME,,2006
197,Larynx,Male,8.9,,,White,ME,,2007
198,Larynx,Male,7.9,,,White,ME,,2008
199,Larynx,Male,10.2,,,White,ME,,2009
200,Larynx,Male,7.0,,,White,ME,,2010
201,Larynx,Male,8.3,,,White,ME,,2011
202,Larynx,Male,10.2,,,White,ME,,2012
203,Larynx,Male,8.1,,,White,ME,,2013
204,Larynx,Male,9.6,,,White,ME,,2014
205,Larynx,Male,7.7,,,White,ME,,2015
206,Larynx,Male,7.715679975259711,,,White,ME,,2016
207,Larynx,Male,7.456847324567355,,,White,ME,,2017
208,Larynx,Male,6.170273574628805,,,White,ME,,2018
209,Larynx,Male,2.9621916288733767,,,White,ME,,2019
210,Larynx,Male,8.025697724890009,,,White,ME,,2020
211,Larynx,Male,0.0,,,White,ME,,2021
212,Larynx,Male,5.249081915648796,,,White,ME,,2022
213,Larynx,Male,1.6036917685608645,,,White,ME,,2023
214,Larynx,Male,0.0,,,White,ME,,2024
215,Larynx,Male,9.166365808391069,,,White,ME,,2025
216,Lung,Female,,27.2,,Black or African American,FL,,1999
217,Lung,Female,,28.2,,Black or African American,FL,,2000
218,Lung,Female,,31.6,,Black or African American,FL,,2001
219,Lung,Female,,28.5,,Black or African American,FL,,2002
220,Lung,Female,,30.0,,Black or African American,FL,,2003
221,Lung,Female,,30.6,,Black or African American,FL,,2004
222,Lung,Female,,30.7,,Black or African American,FL,,2005
223,Lung,Female,,27.3,,Black or African American,FL,,2006
224,Lung,Female,,30.3,,Black or African American,FL,,2007
225,Lung,Female,,27.6,,Black or African American,FL,,2008
226,Lung,Female,,30.8,,Black or African American,FL,,2009
227,Lung,Female,,29.8,,Black or African American,FL,,2010
228,Lung,Female,,33.0,,Black or African American,FL,,2011
229,Lung,Female,,31.9,,Black or African American,FL,,2012
230,Lung,Female,,31.5,,Black or African American,FL,,2013
231,Lung,Female,,30.2,,Black or African American,FL,,2014
232,Lung,Female,,31.0,,Black or African American,FL,,2015
233,Lung,Female,,30.00559963775353,,Black or African American,FL,,2016
234,Lung,Female,,14.212696652446695,,Black or African American,FL,,2017
235,Lung,Female,,11.429906386454551,,Black or African American,FL,,2018
236,Lung,Female,,17.117553152536665,,Black or African American,FL,,2019
237,Lung,Female,,15.447893497214935,,Black or African American,FL,,2020
238,Lung,Female,,23.020179621840143,,Black or African American,FL,,2021
239,Lung,Female,,4.092827478533779,,Black or African American,FL,,2022
240,Lung,Female,,8.434329377439234,,Black or African American,FL,,2023
241,Lung,Female,,0.0,,Black or African American,FL,,2024
242,Lung,Female,,12.410519030498486,,Black or African American,FL,,2025
243,Nasal,Female,,,0.8,White,PA,,1999
244,Nasal,Female,,,0.8,White,PA,,2000
245,Nasal,Female,,,0.6,White,PA,,2001
246,Nasal,Female,,,0.7,White,PA,,2002
247,Nasal,Female,,,0.6,White,PA,,2003
248,Nasal,Female,,,0.8,White,PA,,2004
249,Nasal,Female,,,0.9,White,PA,,2005
250,Nasal,Female,,,0.6,White,PA,,2006
251,Nasal,Female,,,0.8,White,PA,,2007
252,Nasal,Female,,,0.5,White,PA,,2008
253,Nasal,Female,,,0.7,White,PA,,2009
254,Nasal,Female,,,0.8,White,PA,,2010
255,Nasal,Female,,,0.6,White,PA,,2011
256,Nasal,Female,,,0.9,White,PA,,2012
257,Nasal,Female,,,0.9,White,PA,,2013
258,Nasal,Female,,,0.9,White,PA,,2014
259,Nasal,Female,,,0.7,White,PA,,2015
260,Nasal,Female,,,0.6529384844949145,White,PA,,2016
261,Nasal,Female,,,0.5707840672542056,White,PA,,2017
262,Nasal,Female,,,0.6737129238618127,White,PA,,2018
263,Nasal,Female,,,0.5908202377838443,White,PA,,2019
264,Nasal,Female,,,0.6551011892166244,White,PA,,2020
265,Nasal,Female,,,0.0,White,PA,,2021
266,Nasal,Female,,,0.409350175665836,White,PA,,2022
267,Nasal,Female,,,0.12330034148387314,White,PA,,2023
268,Nasal,Female,,,0.2907786171905764,White,PA,,2024
269,Nasal,Female,,,0.28549635640860976,White,PA,,2025
270,Lung,Female,,48.5,,White,MN,,1999
271,Lung,Female,,49.2,,White,MN,,2000
272,Lung,Female,,52.1,,White,MN,,2001
273,Lung,Female,,53.9,,White,MN,,2002
274,Lung,Female,,56.1,,White,MN,,2003
275,Lung,Female,,55.8,,White,MN,,2004
276,Lung,Female,,54.1,,White,MN,,2005
277,Lung,Female,,57.4,,White,MN,,2006
278,Lung,Female,,59.0,,White,MN,,2007
279,Lung,Female,,60.4,,White,MN,,2008
280,Lung,Female,,62.0,,White,MN,,2009
281,Lung,Female,,64.6,,White,MN,,2010
282,Lung,Female,,60.1,,White,MN,,2011
283,Lung,Female,,65.1,,White,MN,,2012
284,Lung,Female,,67.1,,White,MN,,2013
285,Lung,Female,,65.2,,White,MN,,2014
286,Lung,Female,,72.4,,White,MN,,2015
287,Lung,Female,,71.07543683390759,,White,MN,,2016
288,Lung,Female,,86.73624774675959,,White,MN,,2017
289,Lung,Female,,75.72245938761314,,White,MN,,2018
290,Lung,Female,,67.33587268959971,,White,MN,,2019
291,Lung,Female,,106.11243958510158,,White,MN,,2020
292,Lung,Female,,47.36777885328972,,White,MN,,2021
293,Lung,Female,,43.03547162435899,,White,MN,,2022
294,Lung,Female,,90.40655036307794,,White,MN,,2023
295,Lung,Female,,0.0,,White,MN,,2024
296,Lung,Female,,129.2626447424035,,White,MN,,2025
297,Lung,Male,,74.5,,White,ND,,1999
298,Lung,Male,,72.2,,White,ND,,2000
299,Lung,Male,,77.0,,White,ND,,2001
300,Lung,Male,,83.3,,White,ND,,2002
301,Lung,Male,,79.2,,White,ND,,2003
302,Lung,Male,,73.1,,White,ND,,2004
303,Lung,Male,,80.8,,White,ND,,2005
304,Lung,Male,,73.8,,White,ND,,2006
305,Lung,Male,,79.4,,White,ND,,2007
306,Lung,Male,,71.7,,White,ND,,2008
307,Lung,Male,,71.0,,White,ND,,2009
308,Lung,Male,,77.7,,White,ND,,2010
309,Lung,Male,,80.3,,White,ND,,2011
310,Lung,Male,,82.0,,White,ND,,2012
311,Lung,Male,,71.8,,White,ND,,2013
312,Lung,Male,,73.6,,White,ND,,2014
313,Lung,Male,,61.6,,White,ND,,2015
314,Lung,Male,,74.45594299008765,,White,ND,,2016
315,Lung,Male,,59.77643958331966,,White,ND,,2017
316,Lung,Male,,39.8844804602316,,White,ND,,2018
317,Lung,Male,,61.35323939853603,,White,ND,,2019
318,Lung,Male,,31.82157906110264,,White,ND,,2020
319,Lung,Male,,44.92116769540753,,White,ND,,2021
320,Lung,Male,,0.0,,White,ND,,2022
321,Lung,Male,,40.9016884818501,,White,ND,,2023
322,Lung,Male,,0.0,,White,ND,,2024
323,Lung,Male,,57.48578459566636,,White,ND,,2025
324,Lung,Female,,55.9,,Black or African American,PA,,1999
325,Lung,Female,,55.1,,Black or African American,PA,,2000
326,Lung,Female,,64.5,,Black or African American,PA,,2001
327,Lung,Female,,66.8,,Black or African American,PA,,2002
328,Lung,Female,,62.5,,Black or African American,PA,,2003
329,Lung,Female,,62.6,,Black or African American,PA,,2004
330,Lung,Female,,66.6,,Black or African American,PA,,2005
331,Lung,Female,,66.5,,Black or African American,PA,,2006
332,Lung,Female,,63.8,,Black or African American,PA,,2007
333,Lung,Female,,66.7,,Black or African American,PA,,2008
334,Lung,Female,,69.0,,Black or African American,PA,,2009
335,Lung,Female,,68.6,,Black or African American,PA,,2010
336,Lung,Female,,64.8,,Black or African American,PA,,2011
337,Lung,Female,,61.6,,Black or African American,PA,,2012
338,Lung,Female,,67.1,,Black or African American,PA,,2013
339,Lung,Female,,62.7,,Black or African American,PA,,2014
340,Lung,Female,,66.3,,Black or African American,PA,,2015
341,Lung,Female,,59.572887243313644,,Black or African American,PA,,2016
342,Lung,Female,,52.94735093494092,,Black or African American,PA,,2017
343,Lung,Female,,13.981790024125731,,Black or African American,PA,,2018
344,Lung,Female,,62.92319433809197,,Black or African American,PA,,2019
345,Lung,Female,,0.0,,Black or African American,PA,,2020
346,Lung,Female,,101.41091186286707,,Black or African American,PA,,2021
347,Lung,Female,,0.0,,Black or African American,PA,,2022
348,Lung,Female,,253.78987472105342,,Black or African American,PA,,2023
349,Lung,Female,,0.0,,Black or African American,PA,,2024
350,Lung,Female,,650.707201769932,,Black or African American,PA,,2025
351,Nasal,Female,,,0.6,White,TX,,1999
352,Nasal,Female,,,0.5,White,TX,,2000
353,Nasal,Female,,,0.6,White,TX,,2001
354,Nasal,Female,,,0.6,White,TX,,2002
355,Nasal,Female,,,0.5,White,TX,,2003
356,Nasal,Female,,,0.6,White,TX,,2004
357,Nasal,Female,,,0.6,White,TX,,2005
358,Nasal,Female,,,0.6,White,TX,,2006
359,Nasal,Female,,,0.5,White,TX,,2007
360,Nasal,Female,,,0.5,White,TX,,2008
361,Nasal,Female,,,0.5,White,TX,,2009
362,Nasal,Female,,,0.5,White,TX,,2010
363,Nasal,Female,,,0.4,White,TX,,2011
364,Nasal,Female,,,0.5,White,TX,,2012
365,Nasal,Female,,,0.5,White,TX,,2013
366,Nasal,Female,,,0.4,White,TX,,2014
367,Nasal,Female,,,0.4,White,TX,,2015
368,Nasal,Female,,,0.4502890173410408,White,TX,,2016
369,Nasal,Female,,,0.2664713154465577,White,TX,,2017
370,Nasal,Female,,,0.27534260215457784,White,TX,,2018
371,Nasal,Female,,,0.1464822536295804,White,TX,,2019
372,Nasal,Female,,,0.00743606454503823,White,TX,,2020
373,Nasal,Female,,,0.06487521162310607,White,TX,,2021
374,Nasal,Female,,,0.03562805803772422,White,TX,,2022
375,Nasal,Female,,,0.0,White,TX,,2023
376,Nasal,Female,,,0.0,White,TX,,2024
377,Nasal,Female,,,0.003561616239083035,White,TX,,2025
378,Larynx,Male,9.0,,,Black or African American,MO,,1999
379,Larynx,Male,9.8,,,Black or African American,MO,,2000
380,Larynx,Male,7.4,,,Black or African American,MO,,2001
381,Larynx,Male,7.0,,,Black or African American,MO,,2002
382,Larynx,Male,7.5,,,Black or African American,MO,,2003
383,Larynx,Male,8.6,,,Black or African American,MO,,2004
384,Larynx,Male,8.2,,,Black or African American,MO,,2005
385,Larynx,Male,9.3,,,Black or African American,MO,,2006
386,Larynx,Male,6.5,,,Black or African American,MO,,2007
387,Larynx,Male,5.0,,,Black or African American,MO,,2008
388,Larynx,Male,7.5,,,Black or African American,MO,,2009
389,Larynx,Male,9.4,,,Black or African American,MO,,2010
390,Larynx,Male,9.1,,,Black or African American,MO,,2011
391,Larynx,Male,4.5,,,Black or African American,MO,,2012
392,Larynx,Male,8.4,,,Black or African American,MO,,2013
393,Larynx,Male,7.5,,,Black or African American,MO,,2014
394,Larynx,Male,7.4,,,Black or African American,MO,,2015
395,Larynx,Male,6.879856926932306,,,Black or African American,MO,,2016
396,Larynx,Male,9.5323870156514,,,Black or African American,MO,,2017
397,Larynx,Male,7.202305204519516,,,Black or African American,MO,,2018
398,Larynx,Male,7.651717456469343,,,Black or African American,MO,,2019
399,Larynx,Male,5.44007108494247,,,Black or African American,MO,,2020
400,Larynx,Male,8.408157395829104,,,Black or African American,MO,,2021
401,Larynx,Male,0.0,,,Black or African American,MO,,2022
402,Larynx,Male,10.455935250649839,,,Black or African American,MO,,2023
403,Larynx,Male,0.0,,,Black or African American,MO,,2024
404,Larynx,Male,9.589923280691508,,,Black or African American,MO,,2025
405,Lung,Female,,35.8,,Black or African American,TX,,1999
406,Lung,Female,,37.6,,Black or African American,TX,,2000
407,Lung,Female,,39.6,,Black or African American,TX,,2001
408,Lung,Female,,39.6,,Black or African American,TX,,2002
409,Lung,Female,,40.2,,Black or African American,TX,,2003
410,Lung,Female,,39.2,,Black or African American,TX,,2004
411,Lung,Female,,44.2,,Black or African American,TX,,2005
412,Lung,Female,,39.3,,Black or African American,TX,,2006
413,Lung,Female,,38.3,,Black or African American,TX,,2007
414,Lung,Female,,41.1,,Black or African American,TX,,2008
415,Lung,Female,,40.0,,Black or African American,TX,,2009
416,Lung,Female,,39.3,,Black or African American,TX,,2010
417,Lung,Female,,39.3,,Black or African American,TX,,2011
418,Lung,Female,,43.7,,Black or African American,TX,,2012
419,Lung,Female,,39.3,,Black or African American,TX,,2013
420,Lung,Female,,36.7,,Black or African American,TX,,2014
421,Lung,Female,,37.5,,Black or African American,TX,,2015
422,Lung,Female,,41.07452143142748,,Black or African American,TX,,2016
423,Lung,Female,,30.94914202314328,,Black or African American,TX,,2017
424,Lung,Female,,27.999379461451078,,Black or African American,TX,,2018
425,Lung,Female,,11.606682854518949,,Black or African American,TX,,2019
426,Lung,Female,,0.3091823096216313,,Black or African American,TX,,2020
427,Lung,Female,,3.514527123594032,,Black or African American,TX,,2021
428,Lung,Female,,2.2958133107744256,,Black or African American,TX,,2022
429,Lung,Female,,0.0,,Black or African American,TX,,2023
430,Lung,Female,,0.0,,Black or African American,TX,,2024
431,Lung,Female,,0.0,,Black or African American,TX,,2025
432,Larynx,Male,8.2,,,White,OH,,1999
433,Larynx,Male,7.8,,,White,OH,,2000
434,Larynx,Male,7.4,,,White,OH,,2001
435,Larynx,Male,7.6,,,White,OH,,2002
436,Larynx,Male,7.8,,,White,OH,,2003
437,Larynx,Male,8.1,,,White,OH,,2004
438,Larynx,Male,7.8,,,White,OH,,2005
439,Larynx,Male,7.9,,,White,OH,,2006
440,Larynx,Male,8.9,,,White,OH,,2007
441,Larynx,Male,7.8,,,White,OH,,2008
442,Larynx,Male,8.7,,,White,OH,,2009
443,Larynx,Male,8.3,,,White,OH,,2010
444,Larynx,Male,8.2,,,White,OH,,2011
445,Larynx,Male,7.1,,,White,OH,,2012
446,Larynx,Male,9.1,,,White,OH,,2013
447,Larynx,Male,8.8,,,White,OH,,2014
448,Larynx,Male,8.7,,,White,OH,,2015
449,Larynx,Male,7.892537426245034,,,White,OH,,2016
450,Larynx,Male,8.700559353495821,,,White,OH,,2017
451,Larynx,Male,8.47010746405849,,,White,OH,,2018
452,Larynx,Male,7.512034611245008,,,White,OH,,2019
453,Larynx,Male,3.0941480960801533,,,White,OH,,2020
454,Larynx,Male,9.865598280394476,,,White,OH,,2021
455,Larynx,Male,0.0,,,White,OH,,2022
456,Larynx,Male,8.315570102809176,,,White,OH,,2023
457,Larynx,Male,0.0,,,White,OH,,2024
458,Larynx,Male,11.380085958432375,,,White,OH,,2025
459,Larynx,Female,1.7,,,White,TX,,1999
460,Larynx,Female,1.5,,,White,TX,,2000
461,Larynx,Female,1.2,,,White,TX,,2001
462,Larynx,Female,1.3,,,White,TX,,2002
463,Larynx,Female,1.4,,,White,TX,,2003
464,Larynx,Female,1.2,,,White,TX,,2004
465,Larynx,Female,1.3,,,White,TX,,2005
466,Larynx,Female,1.2,,,White,TX,,2006
467,Larynx,Female,1.4,,,White,TX,,2007
468,Larynx,Female,1.3,,,White,TX,,2008
469,Larynx,Female,1.3,,,White,TX,,2009
470,Larynx,Female,1.3,,,White,TX,,2010
471,Larynx,Female,1.4,,,White,TX,,2011
472,Larynx,Female,1.3,,,White,TX,,2012
473,Larynx,Female,1.2,,,White,TX,,2013
474,Larynx,Female,1.0,,,White,TX,,2014
475,Larynx,Female,1.1,,,White,TX,,2015
476,Larynx,Female,1.2147655592816708,,,White,TX,,2016
477,Larynx,Female,0.5711370295954381,,,White,TX,,2017
478,Larynx,Female,0.5528736213259431,,,White,TX,,2018
479,Larynx,Female,0.9597053313106759,,,White,TX,,2019
480,Larynx,Female,0.7326814500543803,,,White,TX,,2020
481,Larynx,Female,0.2298439103624695,,,White,TX,,2021
482,Larynx,Female,0.0,,,White,TX,,2022
483,Larynx,Female,0.25211074330741895,,,White,TX,,2023
484,Larynx,Female,0.4321437747666584,,,White,TX,,2024
485,Larynx,Female,0.3472715326813737,,,White,TX,,2025
486,Larynx,Male,5.7,,,White,OR,,1999
487,Larynx,Male,5.6,,,White,OR,,2000
488,Larynx,Male,5.2,,,White,OR,,2001
489,Larynx,Male,5.3,,,White,OR,,2002
490,Larynx,Male,5.6,,,White,OR,,2003
491,Larynx,Male,5.2,,,White,OR,,2004
492,Larynx,Male,5.1,,,White,OR,,2005
493,Larynx,Male,5.9,,,White,OR,,2006
494,Larynx,Male,5.3,,,White,OR,,2007
495,Larynx,Male,5.2,,,White,OR,,2008
496,Larynx,Male,4.5,,,White,OR,,2009
497,Larynx,Male,4.8,,,White,OR,,2010
498,Larynx,Male,4.7,,,White,OR,,2011
499,Larynx,Male,4.9,,,White,OR,,2012
500,Larynx,Male,5.6,,,White,OR,,2013
501,Larynx,Male,5.3,,,White,OR,,2014
502,Larynx,Male,5.1,,,White,OR,,2015
503,Larynx,Male,4.84657589438235,,,White,OR,,2016
504,Larynx,Male,1.7728809063458435,,,White,OR,,2017
505,Larynx,Male,2.5914344271462184,,,White,OR,,2018
506,Larynx,Male,2.804649041283134,,,White,OR,,2019
507,Larynx,Male,3.5073555483025567,,,White,OR,,2020
508,Larynx,Male,2.73070634966998,,,White,OR,,2021
509,Larynx,Male,0.6771923327314193,,,White,OR,,2022
510,Larynx,Male,0.2423783180964423,,,White,OR,,2023
511,Larynx,Male,0.5673376321511245,,,White,OR,,2024
512,Larynx,Male,0.7396715161611347,,,White,OR,,2025
